"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUSAP1",3.11284939867901,9.23052625928984,28.3846309062613,2.90622560980365e-136,1.02870365119429e-133,300.577228461965
"KIF20A",3.75882136448687,8.46242427745665,28.3729042339194,3.54989745144599e-136,1.23524397759638e-133,300.37771082231
"B3GALT1",-3.04632424235155,1.33692237819983,-28.3601507076081,4.41268033059666e-136,1.50987211978582e-133,300.16074093408
"HMMR",3.36689230197188,7.59161395540875,28.3587633099091,4.51835893541778e-136,1.52068703187094e-133,300.137138947799
"UBE2T",3.11986295398935,8.2210602807597,28.3499824000438,5.24843759354075e-136,1.73791006121599e-133,299.987766139029
"SLC22A12",-2.25720773481105,0.432988852188274,-28.2854733983614,1.5768542146602e-135,5.13854238523394e-133,298.890682698461
"PDE2A",-3.40772643813271,7.15530644095789,-28.280383083368,1.71981497117202e-135,5.51684396221275e-133,298.804134824967
"HJURP",3.56381895760367,7.53841742361685,28.2362333777333,3.65024082182133e-135,1.15291452418449e-132,298.053613822992
"PYCR1",2.51322087271506,10.8989730800991,28.2202996895446,4.78908988036893e-135,1.48969720066627e-132,297.782808413251
"ACVR1C",-4.92826400869998,4.88389818331957,-28.1649265195747,1.23022843760959e-134,3.76964027225745e-132,296.841942004644
"KCNIP2",-5.04485583249372,5.53210916597853,-28.1625865880156,1.28025478893138e-134,3.86523982599429e-132,296.802191717812
"DLGAP5",3.71013833581219,7.69289430222956,28.123135850314,2.50671820099745e-134,7.45839487919967e-132,296.132113375408
"WDR62",3.14491467878904,7.28592213047069,28.1217894236568,2.56485765582832e-134,7.52236109630792e-132,296.109247497045
"LOC729467",-1.72641577268148,0.332943435177539,-28.1132521586813,2.96619657323889e-134,8.57690361247807e-132,295.964267500363
"SPTBN1",-1.89475669049562,12.5675522708505,-28.051177881133,8.53385663064868e-134,2.43333439760024e-131,294.910397291312
"CD300LG",-6.46611511218795,4.44262378199835,-28.0211299702897,1.4230755886339e-133,4.00215641570603e-131,294.400432521242
"TROAP",3.79294203649506,7.27124170107349,27.9891916339234,2.45034752791332e-133,6.7980587497379e-131,293.858510595577
"HSD17B6",2.92922390970589,6.11734112303881,27.9049711598726,1.02630886467352e-132,2.80934946556633e-130,292.43010957284
"PBK",3.6178177301732,7.47199694467382,27.8842654089537,1.45931441521026e-132,3.94206907161404e-130,292.079076135318
"EPB42",-3.40294888371795,1.04414302229562,-27.8075790922017,5.37169558244214e-132,1.4322196143836e-129,290.779472074528
"ADH1A",-5.11231831230309,2.33243600330306,-27.7872579594693,7.58628664962773e-132,1.99674955021612e-129,290.435220322737
"TPX2",3.4132691902957,9.91066102394715,27.7743646627669,9.44357229505232e-132,2.45413340781549e-129,290.216829013293
"DPP6",-3.95828787442627,1.89864079273328,-27.7229682018065,2.26029272261132e-131,5.80047619940131e-129,289.346479049112
"GSN",-2.38323617681395,13.0494708505367,-27.6797672542562,4.70581226354226e-131,1.19272007124102e-128,288.615188443776
"BTNL9",-4.35102167314366,6.51226903385632,-27.6528814876031,7.42636270266579e-131,1.85930763763084e-128,288.160203828795
"KLB",-4.14328467031297,4.85636870355078,-27.6101978095955,1.53199082318556e-130,3.78937007228909e-128,287.43807660148
"ABCA10",-4.554489506469,4.0751524360033,-27.5717405007146,2.94106208689964e-130,7.18809579095829e-128,286.787666863877
"SORBS1",-3.39214260743013,9.91522237819983,-27.5308024508727,5.88742663458173e-130,1.42198669185839e-127,286.095527480577
"RYR3",-3.6122922883782,3.73589694467382,-27.5297662287348,5.99175095272904e-130,1.43035636115729e-127,286.078011116404
"PYGM",-3.53716543443842,3.65633666391412,-27.5181896597119,7.29073480571056e-130,1.72044581104871e-127,285.882330296496
"HIF3A",-4.98288973836141,3.34886300578035,-27.5087656271585,8.55337580787494e-130,1.99546369699628e-127,285.723048071459
"DTL",3.06906789649602,8.63628464079273,27.4812191637741,1.36415633092574e-129,3.14675612066353e-127,285.257537511853
"BUB1",3.51281698651825,8.27151750619323,27.3856927074396,6.87897641122437e-129,1.56917095247152e-126,283.644059748084
"ARHGAP20",-3.46580234771066,5.45815639966969,-27.3167450660017,2.20966302341445e-128,4.98509690886799e-126,282.480321591193
"KLHL33",-2.07899401877529,0.895162014863749,-27.3088027661004,2.52747592739334e-128,5.64011747710709e-126,282.346311111483
"MELK",3.81504243151179,7.77699496284063,27.2507164783316,6.75134955144346e-128,1.49037856227026e-125,281.366500896601
"TK1",3.03315737817651,9.67550024772915,27.2471037357756,7.17666735574912e-128,1.56741468950563e-125,281.305576834355
"EBF1",-3.04330514241392,7.58616779521057,-27.2339305705044,8.96727232073308e-128,1.93787474468053e-125,281.083445339293
"CDK1",3.03217127972619,9.26265697770438,27.2297634197861,9.62187357757169e-128,2.05767775570361e-125,281.013182406358
"PAPPA2",-3.39827970701595,1.76697002477291,-27.2222481542269,1.09254981764866e-127,2.3123760573533e-125,280.886472906592
"LPL",-4.72187455180797,9.0902455821635,-27.1893330994707,1.90581463322995e-127,3.9924871857358e-125,280.331614311844
"C16orf59",2.87438982072318,6.60203649876135,27.1476420439967,3.85520076948454e-127,7.99467391894118e-125,279.629047510472
"CCDC64",2.99143462393448,8.26265953757225,27.1117066334416,7.07428724710077e-127,1.45235117182979e-124,279.023682166449
"KIF18B",3.70770764045483,7.00285119735756,27.1076022988989,7.58207841605588e-127,1.54118881070918e-124,278.954553201879
"PLK1",3.47621697372418,8.49030677126342,27.0805680932602,1.19690174760782e-126,2.39626114430812e-124,278.499281887569
"TNXB",-4.49165911816917,8.69406201486375,-27.0803057341694,1.20221577137719e-126,2.39626114430812e-124,278.494864153756
"CAT",-1.83262754721809,10.7498134599505,-27.0631931772317,1.60495062923582e-126,3.16823427098186e-124,278.206736892704
"SCARA5",-6.39672784707896,4.57729843104872,-27.0620510552821,1.6361973910604e-126,3.19915547033047e-124,278.1875083585
"AOC3",-3.64904886772538,9.43908034682081,-27.0191872461086,3.37326216718532e-126,6.53330870682213e-124,277.466005615899
"PPAPDC1A",4.89236307233444,5.92342171758877,27.0110502888149,3.86976460786752e-126,7.42488480369347e-124,277.329072428255
"CRHBP",-3.36785798029714,2.86811478117258,-26.9953282697357,5.04540723477468e-126,9.59094541943742e-124,277.064522420022
"ZWINT",2.52757023940891,9.20814269199009,26.980023830422,6.5317872831352e-126,1.23025314608042e-123,276.807035404462
"RRM2",3.52938074493435,9.35164393063584,26.9777986051358,6.78164391170502e-126,1.26570135915731e-123,276.769600472197
"RDH5",-4.15094964016697,5.17213757225434,-26.9766146766839,6.91845008644797e-126,1.27960162409709e-123,276.749683572382
"GABRD",3.24912377536822,5.46293707679604,26.9431366284234,1.21685991527542e-125,2.23054768398253e-123,276.186581290313
"SPRY2",-2.88319592189224,7.79061445086705,-26.9294088694846,1.53382825136158e-125,2.78668088499586e-123,275.955729957784
"HSPB6",-4.70006864254984,7.78332857142857,-26.9262383453285,1.61805943731919e-125,2.91392633755815e-123,275.902417352102
"TNMD",-5.01612378656304,2.61255400495458,-26.9228149810388,1.71420593821736e-125,3.06023025318282e-123,275.8448549756
"CEP55",3.38923567784549,8.09833732452519,26.8906100712295,2.95021393450414e-125,5.22137000649741e-123,275.303432889902
"LOC55908",-3.47473499896048,1.33254095788604,-26.8741404370694,3.89412534808332e-125,6.83302507659406e-123,275.026611562981
"BUB1B",3.20032408562427,8.0895926507019,26.8441777375288,6.45189299036993e-125,1.12252002620589e-122,274.523108240156
"TSLP",-3.96421876409346,2.90772436003303,-26.8166209023937,1.02636840198789e-124,1.77070111704297e-122,274.060158818129
"MYH1",-3.39270579731005,1.16223501238646,-26.7806345063037,1.88154517284414e-124,3.21901019987418e-122,273.455775613676
"MAP1LC3C",-3.77054475283469,2.59757786952931,-26.7712696287221,2.20290872397793e-124,3.73261667939419e-122,273.298528447368
